no,review,score
91,"['9012', '年', '了', '这种', '屌丝', '逆袭', '成龙', '傲天', '的', '种马', '文', '还', '这么', '受欢迎', '？', '？', '？', '？', '带入', '且', '沉浸', '在', '主角', '的', '的', '开挂', '世界', '里', '想必', '很香', '吧', '？', '！', '！', '！', '【', '浪费', '了', '很多', '老', '演员', ' ', '但是', '这个', '猥琐', '还有', '抄袭', '历史', '的', '男频', '爽文', '我', '真', '看', '不', '进去', ' ', '告辞', '！', ' ', '】', '一星', '是', '给', '小范', '闲', '的', ' ', '这', '孩子', '有点', '灵气']",-39
92,"['没', '看过', '小说', '，', '看', '了', '4', '集', '不', '知道', '演', '的', '是', '啥']",0
93,"['没', '看过', '原著', '。', '看过', '的话', '估计', '也', '是', 'yy', '小说', '。', '主角', '开挂', '。', '各种', '奇遇', '。', '身边', '都', '是', '美女', '。', ' ', ' ', '这', '不', '和', '什么', '极品', '家丁', '。', '还有', '诛仙', '这些', '都', '差不多', '吗', '。', '第二集', '就', '说', '明白', '了', '整个', '故事', '。', '陈道明', '肯定', '是', '弄死', '他', '母亲', '的', '黑手', '。', '最后', '肯定', '和', '林婉儿', '结婚', '了', '。', ' ', ' ', '就算', '穿越', '了', '。', '能', '默写', '红楼梦', '全篇', '也', '是', '有点', '厉害', '。', '主角', '你', '怎么', '不', '穿越', '过去', '就会造', '原子弹', '呢', '？', '你', '母亲', '的', '遗志', '不是', '一下', '就', '实现', '了', '？', '统一', '全人类', '。', '最后', '不得不', '说', '。', '一周', '更新', '4', '集', '你', '和', '我', '闹', '呢', '？', '总共', '46', '集', '更新', '86', '天', '。', '还是', '第一季', '。', '你', '当', '你', '是', '权力', '的', '游戏', '呢', '。', '一', '拍拍', '十来', '年']",-7
94,"['看不下去', '了', '，', '太', '杰克', '苏了', '真的', '。', '琅', '琊', '榜', '男主', '好歹', '沉稳', '大气', '，', '这部', '的', '男主', '就是', '龙傲', '天', '。', '剧情', '漏洞百出', '，', '所有', '的', '人物', '包括', '主角', '脸谱化', '严重', '。', '你', '说', '当', '喜剧', '看', '，', '不要', '带', '脑子', '，', '笑点', '又', '太尬', '。', '去年', '的', '玛丽', '苏大剧', '延禧', '攻略', '：', '皇后', '、', '继', '皇后', '、', '女主', '哪个', '塑造', '得', '不', '比', '这部', '里', '的', '全部', '角色', '立体', '？', '结果', '这个', '8', '分', '那个', '7', '分', '？']",9
95,"['某位', '老', '艺术家', '拿枪', '拿', '调']",9
96,"['还是', '不行', '啊', '，', '这', '类型', '剧', '啥时候', '能', '有', '个', '突破', '啊']",0
97,"['首先', '，', '没', '港台', '演员', '的', '掺合', '基本', '可以', '避开', '合拍片', '的', '垃圾', '揍', '性', '了', '，', '可以', '一刷', '。', '另', '，', '这天', '上', '一脚', '地上', '一脚', '哪', '也', '不', '挨', '哪', '的', '中', '二', '气质', '果然', '很', '王倦', '大大', '！', '灵魂', '一问', '，', '如此', '悬浮', '的', '设定', '怎么', '过', '的', '审', '？']",2
98,"['就是', '个', '服化', '道', '预算', '充足', '的', '《', '太子妃', '升职', '记', '》', '。']",0
99,"['前', '六集', '看', '完', '了', '，', '很', '失望', '。', '是', '什么', '让', '肤浅', '的', '杰克', '苏', '故事', '都', '能', '铺天盖地', '吹', '成', '这样', '？', '果然', '现在', '任何', '社交', '平台', '上', '对', '一部', '未', '开播', '作品', '的', '提前', '吹捧', '，', '都', '是', '提前', '暗示', '该', '作品', '的', '廉价', '内核', '。']",-7
100,"['莫名其妙', '，', '不知所云', '的', '设定', '。', '。', '。']",-10
101,"['作为', '男生', '看', '了', '第一集', '太假', '太扯', '了', '，', '一个', '小男孩', '还', '能', '把', '一个', '成年', '的', '管家', '给', '扇', '飞', '，', '这部', '剧', '完全', '靠', '这帮', '老戏骨', '支撑', '起来', '的', '，', '新丽', '是', '真', '有钱', '，', '但', '剧本', '是', '硬伤', '。', '很多', '逻辑', '不通']",10.5
102,"['看', '了', '张若昀', '的', '扮相', '，', '真心', '觉得', '演员', '还是', '要长', '的', '有点', '颜值', '，', '否则', '看剧', '吃饭', '都', '要', '被', '恶心', '的', '吐出来', '。', '看到', '第二集', '张若昀', '出来', '了', '，', '就', '弃剧', '了', '！', '能', '找到', '比', '他', '再', '丑', '的', '男主', '吗', '？', '演技', '没', '看', '出来', '，', '但是', '丑', '是', '真的', '可以', '让', '人', '看', '了', '吃不下', '饭', '。', '娱乐节目', '能否', '让', '人', '舒服', '的', '休息', '啊', '。']",1.5
103,"['女人', '全是', '傻', '白甜', '，', '主角', '出身', '即', '不凡', '，', '所遇', '即', '所幸', '，', '难为', '男', '作家', '意淫', '良久']",9
104,"['装', '出', '一副', '高级', '调调', '的', '穿越', '剧', '，', '呵呵', '了', '。']",5
105,"['超前', '看', '了', '3', '集', '，', '很', '期待', '，', '一定', '会', '追', '！']",3
