label,fenci
正常,/li lib ibr bra rar ary ry/ y/f /fr fre ree eeb eb/ b/b /bi bil ill lli lin ing ngs gse ser erv rvi vic ice ce. e.c .cl cla las ass ss. s.p .ph php
异常,"<if ifr fra ram ame me/ e/n /na nam ame me= e="" =""i ""if if( f(0 (0) 0){ ){\ {\u \u0 u00 006 061 61l 1le ler ert rt( t(1 (1) 1)} )}e }el els lse se{ e{\ {\u \u0 u00 006 061 61l 1le ler ert rt( t(1 (1) 1)} )}"" }""/ ""/o /on onl nlo loa oad ad= d="" =""e ""ev eva val al( l(n (na nam ame me) e)"" )""; "";> ;> "
正常,/ha had adl dle ley eyc yco col oll lle lec ect cti tio ion ond ndu duc uck ckd kde dec eco coy oys ys/
正常,/on one ne  e p  pi pie iec ece ce  e h  hk hk  k 1  14 141 41  1 -  -  - 1  14 145 45/
异常,%22 22% 2%2 %26 26% 6%2 %20 20s 0sl sle lee eep ep% p%2 %20 200 00% 0%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0st str tr% r%3 %3D 3D% D%2 %24 24% 4%2 %28 28e 8ec ech cho ho% o%2 %20 20K 0KG KGY GYK YKQ KQW QW% W%2 %29 29% 9%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0st str tr1 r1% 1%3 %3D 3D% D%2 %24 24% 4%7 %7B 7B% B%2 %23 23s 3st str tr% r%7 %7D 7D% D%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20% 0%5 %5B 5B% B%2 %20 209 09% 9%2 %20 20- 0-e -eq eq% q%2 %20 20% 0%2 %24 24% 4%7 %7B 7Bs Bst str tr1 r1% 1%7 %7D 7D% D%2 %20 20% 0%5 %5D 5D% D%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0sl sle lee eep ep% p%2 %20 201 01% 1%2 %20 20% 0%2 %25 257 57C
正常,/do doc ocs cs/ s/a /ap api pi/ i/o /or org rg/ g/a /ap apa pac ach che he/ e/c /ca cat ata tal ali lin ina na/ a/_ /_v _vt vti ti_ i_i _in inf nf. f.h .ht htm tml
正常,/re ree eel eld lde dea eal alc lca cas asi sin ino nos osh shu huf uff ffl fle lem ema mas ast ste ter ere red edi dit iti tio ion onv nv1 v1/
正常,/pf pfi fiz ize zer er/
正常,/am ama mat ate teu eur urt rte tee een en- n-b -ba bab abe bes est str tri rip ips psi sin int nth tho hon ong nga gan and ndf dfu fuc uck cks ks/
正常,/19 190 901 016 166 66/
异常,/vj vjb jbr brr rrp rpp ppi pi. i.j .js jsp spa pa? a?< ?<s <sc scr cri rip ipt pt> t>c >cr cro ros oss ss_ s_s _si sit ite te_ e_s _sc scr cri rip ipt pti tin ing ng. g.n .na nas asl sl< l</ </s /sc scr cri rip ipt pt>
正常,/po pod odc dca cas ast stg tge gen en1 n1. 1.0 .0b 0be bet eta ta2 a2/ 2/c /co cor ore re/ e/a /ad adm dmi min in/ n/p /pg pgr grs rss ssn sne new ews ws. s.p .ph php hp? p?a ?ab abs bso sol olu lut ute teu eur url rl= l=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/4 /4d 4dc dck ckq kqc qcc cc0 c0a 0ac acp cpr prb rbz bz?
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/c /cs css ss. s.r .rt rtf
正常,/10 102 027 277 771 71/
正常,/65 651 511 114 141 414 143 431 31/
正常,/my my  y c  ch che hem emi mic ica cal al  l r  ro rom oma man anc nce ce  e -  -  - p  ph pho hot oto tog ogr gra rap aph phe hed ed  d b  by by  y a  an and ndr dre rew ew  w k  ke ken end nda dal all ll/
异常,"<sc scr cri rip ipt pt> t>a >al ale ler ert rt( t(d (do doc ocu cum ume men ent nt. t.h .he hea ead ad. d.i .in inn nne ner erH rHT HTM TML ML. L.s .su sub ubs bst str tr( r(1 (14 146 46, 6,2 ,20 20) 0)) )); );< ;</ </s /sc scr cri rip ipt pt>"
异常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/c /ch che hec eck ckb kbo box ox/ x/i /in ind nde dex ex. x.p .ph php hp? p?u ?us use ser er_ r_l _la lan ang ngu gue ue= e=. =.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./e /et etc tc/ c/p /pa pas ass ssw swd
正常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/j /js jsp sp2 p2/ 2/j /js jsp spx px/ x/s /se sec ecu cur uri rit ity ty/ y/l /lo log ogi gin
正常,/or ora ran anf nfe fec ecu cub ube be/
正常,/c0 c07 071 710 102 020 200 002 02_ 2_c _ct ct3 t35 358 58- 8-0 -02 02/
异常,"<ba bas ase se  e h  hr hre ref ef= f="" =""j ""ja jav ava vas asc scr cri rip ipt pt: t:\ :\"" \""> "">  > <  <a <a  a h  hr hre ref ef= f="" =""/ ""// //% /%0 %0a 0a% a%0 %0d 0dc dco con onf nfi fir irm rm( m(2 (2) 2); );/ ;// //"" /""> "">X >XS XSS SS< S</ </a /a>"
正常,/93 932 321 218 181 810 106 06/
正常,/ar are rea eac acl cli lie ien ent nti ti/
异常,/ma mai ain in. n.p .ph php hp? p?s ?st stu tuf uff ff= f=; =;s ;sl sle lee eep ep  p 1  11 11  1 #
正常,/fw fw_ w_s _se sec ecu cur uri rit ity tyl yli lit ite te- e-1 -19 199 997 97/
正常,/dl dl6 l60 606 067 67/
正常,/di dis isc sco cov ove ver ery ry  y c  ch cha han ann nne nel el  l -  -  - s  su sup upe per erm rma mas ass ssi siv ive ve  e b  bl bla lac ack ckh kho hol ole les es/
异常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/n /nu num um/ m/m /mr mrt rtg tg. g.c .cg cgi gi? i?c ?cf cfg fg= g=/ =/. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./e /et etc tc/ c/p /pa pas ass ssw swd
异常,/ph php hpm pmy mya yad adm dmi min in/ n/h /ho hom ome me? e?d ?di dir ir= r=/ =/& /&f &fi fil ile le= e=. =.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./e /et etc tc/ c/p /pa pas ass ssw swd wd& d&l &la lan ang ng= g=k =ko kor
异常,%26 26% 6%2 %20 20s 0sl sle lee eep ep% p%2 %20 200 00% 0%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0st str tr% r%3 %3D 3D% D%2 %24 24% 4%2 %28 28e 8ec ech cho ho% o%2 %20 20E 0ER ERX RXF XFF FFG FG% G%2 %29 29% 9%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0st str tr1 r1% 1%3 %3D 3D% D%2 %24 24% 4%7 %7B 7B% B%2 %23 23s 3st str tr% r%7 %7D 7D% D%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20% 0%5 %5B 5B% B%2 %20 201 01% 1%2 %20 20- 0-e -eq eq% q%2 %20 20% 0%2 %24 24% 4%7 %7B 7Bs Bst str tr1 r1% 1%7 %7D 7D% D%2 %20 20% 0%5 %5D 5D% D%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0sl sle lee eep ep% p%2 %20 201 01% 1%2 %20
正常,/38 386 869 698 989 899 99/
正常,/ps psi sio ion onp np/
正常,/ph pho hot oto toc oco coo ool ol  l v  v1 v1/
正常,/ce cel eli lin ine ne/
异常,"/hj hjd jdz dzm zm9 m96 96v 6v. v.k .ks ksp spx px? x?< ?<m <me met eta ta  a h  ht htt ttp tp- p-e -eq equ qui uiv iv= v=s =se set et- t-c -co coo ook oki kie ie  e c  co con ont nte ten ent nt= t="" =""t ""te tes est stb tby byq yqe qe= e=7 =74 747 474 74"" 4"">"
正常,/59 598 986 866 667 67/
正常,/pa par ara ram am_ m_e _ed edi dit ito tor or. r.p .ph php hp? p?f ?fo fol old lde der er= r=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.1 .11 118 18: 8:8 :80 808 080 80/ 0/m /mo moc ocl cly lyx yxl xlw lwq wqy qyf yfj fjn jnp np? p??
异常,%27 27& 7&& &&e &ec ech cho ho$ o$I $IF IFS FSR SRU RUR URC RCZ CZX ZX$ X$( $(( ((5 (52 52% 2%2 %2B 2B6 B67 67) 7)) ))$ )$( $(e (ec ech cho ho$ o$I $IF IFS FSR SRU RUR URC RCZ CZX ZX) X)R )RU RUR URC RCZ CZX ZX&
正常,/tr tre ree ee_ e_s _su sur urg rge geo eon on/
正常,/va van ane nes ess ssa sa  a h  hu hud udg dge gen ens ns  s -  -  - v  v  v (  (w (wi wit ith th  h c  co cov ove ver ers rs) s)  ) a  a  a d  dh dhz hz/
正常,/du du_ u_m _ma mau aur uri rie ier er/
正常,/zb zbr brf rfn fnb nbx bxe xed edf dft ft/
正常,/ag age ge0 e0i 0in int nt/
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/g /gr gra rap aph phi hic ics
正常,/dr dru rug ugo gon oni ni_ i_d _de dec ec/
异常,/he hel elp lp. p.p .ph php hp? p?q ?q= q=\ =\x \x0 x0a 0au aun una nam ame me  e >  >q >q4 q49 499 997 975 756 566 667 67  7 #
正常,/12 123 236 361 616 16/
正常,/ho hot otj tjo job obs bs- s-1 -16 16/
异常,/xs xss ss_ s_5 _50 500 00x 0x2 x21 214 14/
异常,/we web eb/ b/s /su sub ubm bmi mit it_ t_c _co com omm mme men ent nt. t.p .ph php hp? p?p ?pa pat ath th_ h_p _pr pre ref efi fix ix= x=X =XX XXp Xpa pat ath thX hXX
异常,"/ju juj ujg jgx gxw xwa wav av. v.d .do do? o?< ?<s <sc scr cri rip ipt pt> t>d >do doc ocu cum ume men ent nt. t.c .co coo ook oki kie ie= e="" =""t ""te tes est stk tkn kni nim im= m=9 =93 938 383 83; 3;"" ;""< ""</ </s /sc scr cri rip ipt pt>"
正常,/wp wp- p-c -co con ont nte ten ent nt/ t/p /pl plu lug ugi gin ins ns/ s/v /vi vid ide deo eo- o-s -si sid ide deb eba bar ar- r-w -wi wid idg dge get ets ts/
正常,/sy sys yst ste tem em/ m/l /lo log ogi gin in. n.p .ph php hp? p?s ?si sit ite te_ e_p _pa pat ath th= h=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.1 .11 118 18: 8:8 :80 808 080 80/ 0/g /gh ghl hl9 l9i 9il il?
异常,"/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/e /er err rro ror or? r?u ?us use ser ern rna nam ame me= e="" =""< ""<s <sc scr cri rip ipt pt> t>f >fo foo oo< o</ </s /sc scr cri rip ipt"
正常,/ad adm dmi min ini nis ist str tra rat ato tor or/ r/c /co com omp mpo pon one nen ent nts ts/ s/c /co com om_ m_c _cl cli lic ick ckh khe hea eat at/ t/r /re rec ecl cly ly/ y/c /cl cli lic ick ckh khe hea eat at/ t/c /cl cli lic ick ckh khe hea eat at_ t_h _he hea eat atm tma map ap. p.p .ph php hp? p?g ?gl glo lob oba bal als ls[ s[m [mo mos osc sco con onf nfi fig ig_ g_a _ab abs bso sol olu lut ute te_ e_p _pa pat ath th] h]= ]=@ =@r @rf rfi fiu iur url
正常,/q4 q44 447 475 759 595 954 549
正常,/li lib ib/ b/c /cl cla las ass sse ses es/ s/s /sw swi wif ift ft/ t/m /mi mim ime me/ e/h /he hea ead ade der ere ren enc nco cod ode der er/ r/q /qp qph phe hea ead ade der ere ren enc nco cod ode der er. r.p .ph php hp. p.c .co cop opy
异常,/us usi sin ing ng  g l  lo log ogo gon on  n s  sc scr cri rip ipt pts ts  s f  fi fig igu gur ure re  e 5  51 511 110 102 023 233 332 328 285 855 551 514 146 46/
正常,/gl glb lb- b-w -we web eb/
正常,/dw dwi wig igh ght ht  t y  yo yoa oak aka kam am  m -  -  - r  re rep epr pri ris ise se  e p  pl ple lea eas ase se  e b  ba bab aby by/
正常,/al ali lie ien ens ns  s v  vs vs  s p  pr pre red eda dat ato tor or  r -  -  - t  th the he  e m  mo mov ovi vie ie_ e_i _in inf nfo for orm rma mat ati tio ion on/
正常,/sc sch chn hna nap app ppi pi  i -  -  - s  sc sch chn hna nap app ppi pi  i u  un und nd  d s  se sei ein ine ne  e f  fr fre reu eun und nde de  e f  fo for or  r w  ww www ww/
正常,/-w -wm wma mak ake ker er/
正常,/20 200 005 050 509 090 907 07- 7-9 -9/
正常,/al ale lex ex  x j  jo jon one nes es  s -  -  - 9  91 911 11  1 t  th the he  e r  ro roa oad ad  d t  to to  o t  ty tyr yra ran ann nny ny/
正常,/bi bin in/ n/q /qt qte te_ e_i _in ini nit it. t.p .ph php hp? p?q ?qt qte te_ e_r _ro roo oot ot= t=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/l /ll llu lum umt mt7 t7m 7ms msy sya yau au5 u5y 5y? y??
正常,/20 200 005 051 512 121 212 121 212 124 243 432 320 20/
正常,/20 200 003 031 310 101 016 16- 6-6 -6/
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/e /en ent ntr try ry. y.c .cp cpp
异常,%22 22% 2%2 %26 26% 6%2 %20 20s 0sl sle lee eep ep% p%2 %20 200 00% 0%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0st str tr% r%3 %3D 3D% D%2 %24 24% 4%2 %28 28e 8ec ech cho ho% o%2 %20 20B 0BK BKA KAI AIF IFJ FJ% J%2 %29 29% 9%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0st str tr1 r1% 1%3 %3D 3D% D%2 %24 24% 4%7 %7B 7B% B%2 %23 23s 3st str tr% r%7 %7D 7D% D%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20% 0%5 %5B 5B% B%2 %20 209 09% 9%2 %20 20- 0-e -eq eq% q%2 %20 20% 0%2 %24 24% 4%7 %7B 7Bs Bst str tr1 r1% 1%7 %7D 7D% D%2 %20 20% 0%5 %5D 5D% D%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0sl sle lee eep ep% p%2 %20 201 01% 1%2 %20 20% 0%2 %25 252 52F 2F% F%2 %25 252 52F
正常,/pa pay ay_ y_b _bu but utt tto ton on/
异常,"%26 26e 6ec ech cho ho% o%2 %20 20R 0RR RRO ROL OLA LAU AU$ U$( $(( ((5 (57 57% 7%2 %2B 2B2 B22 22) 2)) ))$ )$( $(e (ec ech cho ho% o%2 %20 20R 0RR RRO ROL OLA LAU AU) U)R )RR RRO ROL OLA LAU AU"""
正常,/sb sb1 b11 113 139 391 918 189 892 924 240 404 045 455 556 565 656 564 647 47- 7-o -ol olb lbv bvf vfu fuj ujq jq9 q9s 9su suo uoi oi9 i9h 9hf hft ft8 t8j 8j2 j2k 2kg kg1 g1p 1px pxo xoe oe_ e_2 _20 200 007 070 702 020 205 05/
异常,/ex exa xam amp mpl ple les es/ s/s /se ser erv rvl vle let ets ts/ s/s /se ser erv rvl vle let et/ t/s /se sen end ndc dca car ard rd. d.p .ph php hp? p?v ?vi vie iew ew= w=1 =1& 1&i &id id= d=' ='s 'se sen end ndc dca car ard rd_ d_s _sq sql ql. l.n .na nas asl
正常,/al alt lta tav avi vis ist sta ta_ a_l _la lar arg rge ge/
正常,/df dfc fco cod ode de. e.p .ph php hp? p?d ?df dfo for oru rum um_ m_p _pa pat ath th= h=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/t /tx txe xen enj njr jrx rxf xf3 f3? 3??
异常,"<di div iv  v s  st sty tyl yle le= e="" =""f ""fo fon ont nt- t-f -fa fam ami mil ily ly: y:' :'f 'fo foo oo& o&# &#1 #10 10; 0;; ;;c ;co col olo lor or: r:r :re red ed; d;' ;'; ';"" ;""> "">L >LO LOL"
正常,/q4 q49 493 933 335 353 534 347
正常,/ms msg sg4 g45 454 547 473 73/
异常,/ma mai ain in. n.p .ph php hp? p?s ?st stu tuf uff ff= f=' ='\ '\x \x0 x0a 0au aun una nam ame me  e #
异常,/sc scr cri rip ipt pts ts/ s/e /ev eve ven ent nt_ t_v _vi vie iew ew. w.p .ph php hp? p?e ?ei eid id= d=3 =34 34  4 u  un uni nio ion on  n s  se sel ele lec ect ct  t 6  61 610 102 024 245 456 569 698
正常,/12 120 203 036 366 66/
正常,/we web eb/ b/b /be bet eta tab abl blo loc ock ckm kmo mod odu dul ule les es/ s/s /sh sho how owa wan ann nno nou oun unc nce cem eme men ent ntm tmo mod odu dul ule le/ e/s /sh sho how owa wan ann nno nou oun unc nce cem eme men ent ntm tmo mod odu dul ule le. e.p .ph php hp? p?p ?pa pat ath th_ h_p _pr pre ref efi fix ix= x=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.1 .11 118 18: 8:8 :80 808 080 80/ 0/g /gh ghl hl9 l9i 9il il?
正常,/bo bor ort rtg tga gan ang ng  g -  -  - l  li liv ive ve  e i  in in  n s  st stu tud udi dio io  o d  de dec ece cem emb mbe ber er  r a  an ann nno no  o 2  20 200 002 02/
异常,"/sc scr cri rip ipt pts ts/ s/s /se ses ess ssi sio ion on/ n/l /lo log ogi gin in. n.p .ph php hp? p?d ?de des est st= t=n =ne nes ess ssu sus us"" s""> "">< ><s <sc scr cri rip ipt pt> t>a >al ale ler ert rt( t(' ('o 'os oss ssi sim im_ m_d _de des est st_ t_x _xs xss ss. s.n .na nas asl sl' l') ')< )</ </s /sc scr cri rip ipt pt> t>< ><! <!- !-- -- "
异常,"/iv iv5 v5v 5vk vkg kga gam am. m.h .ht htm tm? m?< ?<s <sc scr cri rip ipt pt> t>d >do doc ocu cum ume men ent nt. t.c .co coo ook oki kie ie= e="" =""t ""te tes est stf tfo fos osd sd= d=9 =94 94; 4;"" ;""< ""</ </s /sc scr cri rip ipt pt>"
正常,/bc bch ch2 h20 200 006 061 612 120 201 010 104 041 411 110 103 03/
正常,/mo mou out uth thw hwi wid ide des esh shu hut ut/
异常,/ph php hpm pmy mya yad adm dmi min in/ n/c /ca cal al_ l_m _ma mak ake ke. e.p .pl pl? l?p ?p0 p0= 0=. =.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./e /et etc tc/ c/p /pa pas ass ssw swd wd\ d\x \x0 x00
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/p /ph php hps ps. s.h .ht htm tml
正常,/la lam amb mb  b o  of of  f g  go god od/
正常,/ch cha har arl rli lie ie  e a  an and nd  d t  th the he  e c  ch cho hoc oco col ola lat ate te  e f  fa fac act cto tor ory ry  y 2  20 200 005 05/
异常,/ja jav ava vas asc scr cri rip ipt pt/ t/. /.p .pa pas ass ssw swd wd. d.z .zi zip
正常,/do doc ocs csi sis is_ s_d _dc dcc cca cac ack ck/
异常,/ak akt kti tiv iva vat ate te/ e/c /cg cgi gi- i-b -bi bin in/ n/c /ca cat atg tgy gy. y.c .cg cgi gi? i?k ?ke key ey= y=0 =0& 0&c &ca car art rtn tna nam ame me= e=a =ax axa xa2 a20 200 001 013 135 350 502 022 225 255 551 510 108 089 89& 9&d &de des esc sc= c=< =<s <sc scr cri rip ipt pt> t>a >al ale ler ert rt( t(' ('v 'vu vul uln lne ner era rab abl ble le' e') ')< )</ </s /sc scr cri rip ipt pt>
正常,/ab abo bou out ut. t.p .ph php hp? p?c ?co con onf nfi fig ig[ g[m [mw mwc wch cha hat at_ t_l _li lib ibs bs] s]= ]=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/i /ip ipb pb5 b5r 5ri ri? i??
正常,/ne neo eot otr tra rac ace cep epr pro ro3 o32 325 25/
异常,';e ;ec ech cho ho$ o$I $IF IFS FSP SPI PIC ICO COD ODU DU$ U$( $(( ((1 (19 19% 9%2 %2B 2B8 B82 82) 2)) ))$ )$( $(e (ec ech cho ho$ o$I $IF IFS FSP SPI PIC ICO COD ODU DU) U)P )PI PIC ICO COD ODU DU% U%2 %26
正常,/04 047 470 702 020 20/
异常,/sc scr cri rip ipt pts ts/ s/x /xu xui uic ick cks ksr sry ry9 y9g 9gr grj rj. j.p .ph php hp3
异常,/bz bzu zuf uf9 f9o 9oz ozq zq. q.c .cf cfc fc? c?< ?<s <sc scr cri rip ipt pt> t>c >cr cro ros oss ss_ s_s _si sit ite te_ e_s _sc scr cri rip ipt pti tin ing ng. g.n .na nas asl sl< l</ </s /sc scr cri rip ipt pt>
异常,"/a0 a0i 0im imi miu iuf uf1 f1. 1.c .cf cfc fc? c?< ?<m <me met eta ta  a h  ht htt ttp tp- p-e -eq equ qui uiv iv= v=s =se set et- t-c -co coo ook oki kie ie  e c  co con ont nte ten ent nt= t="" =""t ""te tes est stx txq xqr qrn rn= n=4 =46 465 654 54"" 4"">"
异常,"/vh vhz hzm zma mai aia ia2 a2. 2.h .ht htm tml ml? l?< ?<s <sc scr cri rip ipt pt> t>d >do doc ocu cum ume men ent nt. t.c .co coo ook oki kie ie= e="" =""t ""te tes est stk tko kog ogj gj= j=3 =39 397 979 79; 9;"" ;""< ""</ </s /sc scr cri rip ipt pt>"
正常,/15 159 598 984 848 48/
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/~ /~m ~ma mar ark rk. k.c
正常,/an ana nal aly lyz yze ze/
正常,/hr hrm rmd mdt dte tem emp mpl pla lat ate te_ e_f _fi fil ile les es/
异常,/.. ..\ .\. \.. ..\ .\. \.. ..\ .\. \.. ..\ .\{ \{F {FI FIL ILE LE}
异常,/cg cgi gi- i-b -bi bin in/ n/p /pu pub ubl bli lis ish she her er/ r/s /se sea ear arc rch ch. h.c .cg cgi gi? i?d ?di dir ir= r=j =jo job obs bs& s&t &te tem emp mpl pla lat ate te= e=; =;c ;ca cat at  t /  /e /et etc tc/ c/p /pa pas ass ssw swd wd| d|& |&o &ou out utp tpu put ut_ t_n _nu num umb mbe ber er= r=1 =10
正常,/23 237 373 737 378 78/
正常,/ma mai ain in. n.p .ph php hp? p?p ?pa pag agi gin ina na= a=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/4 /4d 4dc dck ckq kqc qcc cc0 c0a 0ac acp cpr prb rbz bz?
正常,/xl xli lis iso sof oft ft/
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/c /cr cro ron ont nta tab abs bs. s.c
正常,/em ema mai ail ill lli lin ink nk3 k3/
正常,/ha ham ami mil ilt lto ton on_ n_w _wi win in/
正常,/su sup upe per er  r h  hi hit its ts  s o  of of  f t  th the he  e s  se sev eve ven ent nti tie ies es  s v  vo vol ol  l 2  22 22/
正常,/pi pim imp mpt pte tea eam am/
异常,../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./. /.. ../ ./c /co con onf nf/ f/s /se ser erv rve ver er. r.x .xm xml
正常,/bl blo log oga gad ad/
